epoch,loss,val_loss
0,-2.0703125,-2.0654196739196777
1,-2.061640501022339,-1.9504438638687134
2,-2.070319890975952,-2.0842931270599365
3,-2.0674545764923096,-2.0716588497161865
4,-2.0720269680023193,-1.9881505966186523
5,-2.0749940872192383,-2.0801966190338135
6,-2.072286367416382,-2.0691845417022705
7,-2.0744054317474365,-2.0775489807128906
8,-2.0736324787139893,-2.0776500701904297
9,-2.073981285095215,-1.9802160263061523
10,-2.072178602218628,-2.083451747894287
11,-2.0763542652130127,-2.066553831100464
12,-2.076193332672119,-2.0234384536743164
13,-2.0763375759124756,-2.077155590057373
14,-2.073357105255127,-2.0134215354919434
15,-2.0737578868865967,-2.058913230895996
16,-2.0734236240386963,-2.0862884521484375
17,-2.0769948959350586,-2.021275043487549
18,-2.0746257305145264,-2.0618736743927
19,-2.078049421310425,-2.071624279022217
20,-2.076594591140747,-1.9562265872955322
21,-2.077955961227417,-2.038243532180786
22,-2.074028968811035,-1.9539823532104492
23,-2.075993299484253,-1.9950320720672607
24,-2.079364061355591,-2.0404906272888184
25,-2.076378345489502,-1.9271879196166992
26,-2.075340986251831,-2.079033851623535
27,-2.0749213695526123,-2.016721725463867
28,-2.0732674598693848,-1.9966437816619873
29,-2.0775887966156006,-2.0584218502044678
30,-2.0789833068847656,-1.8852436542510986
31,-2.079911708831787,-2.048736572265625
32,-2.078388214111328,-1.9845436811447144
33,-2.07912540435791,-1.9563647508621216
34,-2.0784807205200195,-2.0548784732818604
35,-2.0804331302642822,-2.0303456783294678
36,-2.080810308456421,-2.0167510509490967
37,-2.077033042907715,-1.9756702184677124
38,-2.0791120529174805,-2.0216288566589355
39,-2.080096960067749,-1.8176707029342651
40,-2.0805397033691406,-2.0755159854888916
41,-2.08066725730896,-2.075404405593872
42,-2.0785582065582275,-2.0670270919799805
43,-2.0788509845733643,-2.0504939556121826
44,-2.081136703491211,-2.082704544067383
45,-2.0778989791870117,-2.084993839263916
46,-2.0789172649383545,-2.049057722091675
47,-2.0784502029418945,-2.0647711753845215
48,-2.081418752670288,-2.083920955657959
49,-2.0791752338409424,-2.0892221927642822
50,-2.0817956924438477,-2.080892562866211
51,-2.08076810836792,-2.0819332599639893
52,-2.0787198543548584,-2.088325023651123
53,-2.0812766551971436,-2.0656111240386963
54,-2.0797665119171143,-2.0257039070129395
55,-2.0808849334716797,-2.0562775135040283
56,-2.0799832344055176,-2.0809502601623535
57,-2.0776526927948,-2.0705525875091553
58,-2.0753049850463867,-2.0658767223358154
59,-2.078057289123535,-2.0820560455322266
60,-2.08444881439209,-2.0811004638671875
61,-2.079591751098633,-2.0612781047821045
62,-2.08168363571167,-2.07236647605896
63,-2.077479362487793,-2.0665485858917236
64,-2.079261064529419,-2.0176045894622803
65,-2.0782787799835205,-2.082488775253296
66,-2.0809414386749268,-2.0853943824768066
67,-2.0811710357666016,-2.025468111038208
68,-2.0824506282806396,-2.0839736461639404
69,-2.081632614135742,-2.0583579540252686
70,-2.0819196701049805,-2.090888738632202
71,-2.0803301334381104,-2.0685384273529053
72,-2.079796075820923,-2.0352535247802734
73,-2.0788886547088623,-2.0764172077178955
74,-2.0833189487457275,-2.082658290863037
75,-2.08050537109375,-2.0676915645599365
76,-2.079737663269043,-2.0764503479003906
77,-2.076702117919922,-2.068915843963623
78,-2.0807623863220215,-2.0873515605926514
79,-2.0826094150543213,-2.042231798171997
80,-2.0798375606536865,-2.061025381088257
81,-2.0795483589172363,-2.0801141262054443
82,-2.0809168815612793,-2.0078320503234863
83,-2.0817790031433105,-2.0804011821746826
84,-2.083118200302124,-2.056691884994507
85,-2.0784387588500977,-2.0633668899536133
86,-2.08182692527771,-2.07099986076355
87,-2.0809967517852783,-2.0911247730255127
88,-2.0798749923706055,-2.0138072967529297
89,-2.081275463104248,-2.0386648178100586
90,-2.081721067428589,-2.085045337677002
91,-2.081597089767456,-2.0197925567626953
92,-1.1883435249328613,-1.6334165334701538
93,-1.698197364807129,-1.735246181488037
94,-1.7617450952529907,-1.7018085718154907
95,-1.7994061708450317,-1.489590048789978
96,-1.8236056566238403,-1.8524671792984009
97,-1.8421722650527954,-1.8725450038909912
98,-1.8554153442382812,-1.8865784406661987
99,-1.8614649772644043,-1.8800671100616455
100,-1.871904730796814,-1.9082680940628052
101,-1.8808473348617554,-1.911307692527771
102,-1.8853336572647095,-1.8510991334915161
103,-1.8868969678878784,-1.9332748651504517
104,-1.9023650884628296,-1.8782662153244019
105,-1.9089837074279785,-1.9509291648864746
106,-1.9139366149902344,-1.9542348384857178
107,-1.9216654300689697,-1.9671155214309692
108,-1.9278520345687866,-1.9733811616897583
109,-1.9310122728347778,-1.9781287908554077
110,-1.9412128925323486,-1.9596964120864868
111,-1.9418758153915405,-1.960039734840393
112,-1.9470652341842651,-1.9710601568222046
113,-1.9542157649993896,-1.9728585481643677
114,-1.9565664529800415,-1.985526204109192
115,-1.9583617448806763,-1.9695638418197632
116,-1.9671354293823242,-1.9300878047943115
117,-1.969505786895752,-1.9091130495071411
118,-1.9674474000930786,-1.9193781614303589
119,-1.9779773950576782,-1.990319848060608
120,-1.973623514175415,-1.9766243696212769
121,-1.9798698425292969,-1.9776856899261475
122,-1.982025146484375,-2.004925489425659
123,-1.985030174255371,-1.931575059890747
124,-1.9801517724990845,-1.965060830116272
125,-1.9925141334533691,-1.7993052005767822
126,-1.9945358037948608,-1.9994856119155884
127,-1.987974762916565,-2.011207342147827
128,-1.984017252922058,-1.7748134136199951
129,-1.9980404376983643,-1.9559459686279297
130,-1.994491457939148,-1.9357584714889526
131,-1.9907945394515991,-1.9988865852355957
132,-1.9959298372268677,-1.8514827489852905
133,-2.001023054122925,-1.905837059020996
134,-2.0034444332122803,-1.8795278072357178
135,-2.004190683364868,-1.9835931062698364
136,-2.0032403469085693,-1.7914085388183594
137,-2.0031235218048096,-1.8523792028427124
138,-2.0095598697662354,-1.9558875560760498
139,-2.0057127475738525,-1.7244431972503662
140,-2.0091941356658936,-1.969646692276001
141,-2.009833812713623,-2.0332345962524414
142,-2.008183479309082,-2.031996488571167
143,-2.0086419582366943,-2.0098395347595215
144,-2.0117392539978027,-1.9973269701004028
