epoch,loss,val_loss
0,-0.5777581334114075,-1.1592031717300415
1,-1.1609996557235718,-1.6455519199371338
0,1.0232577323913574,-0.09205202758312225
1,-0.29057082533836365,-1.4546470642089844
2,-1.1521596908569336,-1.2087150812149048
3,-1.4951844215393066,-1.6964353322982788
4,-1.6079002618789673,-1.8498021364212036
5,-1.6688737869262695,-1.7050135135650635
6,-1.7302213907241821,-1.8927549123764038
7,-1.752005934715271,-1.5734137296676636
8,-1.770518183708191,-1.81985342502594
9,-1.7770113945007324,-1.9625895023345947
10,-1.8115613460540771,-1.6914268732070923
11,-1.8637601137161255,-1.456905484199524
12,-1.8560364246368408,-1.8764712810516357
13,-1.854347825050354,-1.9057949781417847
14,-1.8719264268875122,-1.7278141975402832
15,-1.8740580081939697,-1.8817194700241089
16,-1.8986307382583618,-1.994375467300415
17,-1.9118033647537231,-1.9772506952285767
18,-1.9100522994995117,-2.026287078857422
19,-1.9097610712051392,-1.9356740713119507
20,-1.929213285446167,-1.976149082183838
21,-1.921195387840271,-1.7836894989013672
22,-1.9391218423843384,-2.002870559692383
23,-1.930063247680664,-2.0054378509521484
24,-1.9450864791870117,-1.702717900276184
25,-1.950335144996643,-2.0357794761657715
26,-1.947546362876892,-1.6077895164489746
27,-1.9504663944244385,-1.8731694221496582
28,-1.9564956426620483,-2.003098249435425
29,-1.9558169841766357,-2.018907070159912
30,-1.9624907970428467,-1.7339659929275513
31,-1.9705519676208496,-1.528945803642273
32,-1.971875548362732,-1.9919216632843018
33,-1.9670826196670532,-1.7148759365081787
34,-1.9791045188903809,-1.926546573638916
35,-1.9802240133285522,-1.8914786577224731
36,-1.978915810585022,-1.9844650030136108
37,-1.9809480905532837,-2.0487585067749023
38,-1.9819105863571167,-1.9757460355758667
39,-1.988976001739502,-2.016005754470825
40,-1.9868855476379395,-2.0369584560394287
41,-1.9935343265533447,-1.6725856065750122
42,-1.9922922849655151,-2.0072803497314453
43,-1.9923982620239258,-2.014342784881592
44,-1.9958113431930542,-2.040172815322876
45,-1.994188666343689,-2.056432008743286
46,-2.0004355907440186,-2.0189077854156494
47,-2.001774311065674,-1.9640235900878906
48,-2.0011415481567383,-2.0237746238708496
49,-1.9985772371292114,-1.7000763416290283
50,-2.00795578956604,-2.049349069595337
51,-2.0035195350646973,-1.5540748834609985
52,-2.006648540496826,-1.8702343702316284
53,-2.004401922225952,-1.9492402076721191
54,-2.0092368125915527,-2.0051536560058594
55,-2.01046085357666,-2.0353243350982666
56,-2.0104308128356934,-1.736815094947815
57,-2.009658098220825,-2.057260036468506
58,-2.014322519302368,-2.070869207382202
59,-2.009805917739868,-2.0254647731781006
60,-2.015937566757202,-1.9567131996154785
61,-2.012239694595337,-1.745576024055481
62,-2.015410900115967,-2.0310580730438232
63,-2.018812894821167,-1.9932670593261719
64,-2.0166239738464355,-1.9836773872375488
65,-2.018693685531616,-2.002549648284912
66,-2.0210585594177246,-2.033635377883911
67,-2.019052267074585,-2.000718593597412
68,-2.0195226669311523,-2.0349483489990234
69,-2.0150721073150635,-1.9088609218597412
70,-2.0197863578796387,-1.9376044273376465
71,-2.025256395339966,-1.970346212387085
72,-2.0231618881225586,-1.6030182838439941
73,-2.0199313163757324,-1.764325499534607
74,-2.0258591175079346,-1.9982759952545166
75,-2.0253801345825195,-1.8993178606033325
76,-2.0275447368621826,-1.6898607015609741
77,-2.0270895957946777,-2.051830530166626
78,-2.0253994464874268,-2.0142483711242676
79,-2.0305392742156982,-1.6958742141723633
80,-2.0244216918945312,-2.053163528442383
81,-2.0272610187530518,-2.027977705001831
82,-2.028872013092041,-1.9982688426971436
83,-2.026301145553589,-2.0041942596435547
84,-2.0335311889648438,-2.0268399715423584
85,-2.031303882598877,-2.043316125869751
86,-2.0295379161834717,-2.017791986465454
87,-2.0313751697540283,-2.0539638996124268
88,-2.031299352645874,-1.9255574941635132
89,-2.0336883068084717,-2.032815933227539
90,-2.0342857837677,-2.055389642715454
91,-2.031433582305908,-2.077756881713867
92,-2.034313917160034,-1.9133697748184204
93,-2.0329809188842773,-2.048983573913574
94,-2.032839775085449,-2.0322651863098145
95,-2.0356016159057617,-2.0548713207244873
96,-2.0344064235687256,-2.0512216091156006
97,-2.0342020988464355,-2.056011199951172
98,-2.036698579788208,-1.9837079048156738
99,-2.0383262634277344,-1.9919434785842896
100,-2.042059898376465,-2.0652995109558105
101,-2.0321052074432373,-2.0347559452056885
102,-2.0320537090301514,-2.0560672283172607
103,-2.0337541103363037,-2.0000035762786865
104,-2.032656669616699,-2.0546348094940186
105,-2.0327343940734863,-1.9816893339157104
106,-2.035334825515747,-2.050286293029785
107,-2.0348777770996094,-2.024111032485962
108,-2.0354175567626953,-2.0601859092712402
109,-2.0347115993499756,-2.0475692749023438
110,-2.0380380153656006,-2.0515847206115723
111,-2.0404279232025146,-2.0802247524261475
112,-2.0347349643707275,-2.013608932495117
113,-2.035423994064331,-2.072171688079834
114,-2.036386489868164,-2.065638780593872
115,-2.0398237705230713,-2.072014093399048
116,-2.0383353233337402,-2.0681285858154297
117,-2.03692889213562,-2.045671224594116
118,-2.0400781631469727,-2.026404619216919
119,-2.0388007164001465,-1.8979766368865967
120,-2.035435914993286,-2.0636746883392334
121,-2.0389068126678467,-2.064521312713623
122,-2.042267322540283,-2.0004241466522217
123,-2.0404608249664307,-2.0548126697540283
124,-2.0404436588287354,-2.0130467414855957
125,-2.0377235412597656,-1.9048978090286255
126,-2.0388684272766113,-2.033264398574829
127,-2.0433850288391113,-2.0834412574768066
128,-2.0424418449401855,-1.9096349477767944
129,-2.0435070991516113,-2.0738627910614014
130,-2.0437300205230713,-1.9791947603225708
131,-2.044466733932495,-1.9995083808898926
132,-2.0432848930358887,-2.04160475730896
133,-2.042907953262329,-2.072477340698242
134,-2.0469861030578613,-2.0371711254119873
135,-2.0460636615753174,-1.989291787147522
136,-2.0470473766326904,-2.031268358230591
137,-2.0453431606292725,-2.0625123977661133
138,-2.0468697547912598,-1.9556106328964233
139,-2.0475571155548096,-2.0341451168060303
140,-2.045769214630127,-2.056901216506958
141,-2.048372745513916,-2.063365936279297
142,-2.047468900680542,-2.0144026279449463
143,-2.0466461181640625,-2.045064926147461
144,-2.0411977767944336,-2.064359426498413
145,-2.0418992042541504,-2.0513219833374023
146,-2.041794538497925,-2.052875518798828
147,-2.047743797302246,-2.045959234237671
148,-2.043484926223755,-2.0289885997772217
149,-2.0433242321014404,-1.9420102834701538
150,-2.0451207160949707,-1.9834686517715454
151,-2.0432920455932617,-2.033355474472046
152,-2.0436339378356934,-2.027367353439331
153,-2.043358564376831,-2.0585827827453613
154,-2.0446908473968506,-2.0727264881134033
155,-2.045818328857422,-2.0312066078186035
156,-2.0477068424224854,-2.0614101886749268
157,-2.0454108715057373,-2.034501075744629
158,-2.049849033355713,-2.0795962810516357
159,-2.0458855628967285,-1.9946519136428833
160,-2.050600528717041,-2.0478596687316895
161,-2.051741600036621,-2.0330564975738525
162,-2.0507354736328125,-2.061770439147949
163,-2.0506229400634766,-2.062239408493042
164,-2.0481863021850586,-2.0346949100494385
165,-2.051776647567749,-2.0202250480651855
166,-2.051922082901001,-2.0576720237731934
