epoch,loss,val_loss
0,1.7438195943832397,0.6643128991127014
1,0.21486523747444153,0.5212207436561584
2,0.45353084802627563,0.2060985565185547
3,-0.36591869592666626,-0.4641709625720978
4,-0.8247848153114319,-0.9030592441558838
5,-1.0690902471542358,-1.08847177028656
6,-1.1581562757492065,-1.3956953287124634
7,-1.200568437576294,-1.2293932437896729
8,-1.3586010932922363,-1.5898035764694214
9,-1.4429734945297241,-1.3706488609313965
10,-1.2453454732894897,-0.9603142738342285
11,-0.7117137908935547,-1.3166859149932861
12,-1.2266318798065186,-1.4880656003952026
13,-1.4343754053115845,-0.09866288304328918
14,-1.4510924816131592,-1.575621247291565
15,-1.6320562362670898,-1.7286291122436523
16,-1.603541612625122,-1.6014328002929688
17,-1.6732252836227417,-1.5137341022491455
18,-1.603959083557129,-1.76638925075531
19,-1.6354893445968628,-1.7686270475387573
20,-1.6819654703140259,-1.5415626764297485
21,-1.6941540241241455,-1.7455538511276245
22,-1.7260528802871704,-1.6656670570373535
23,-1.7246382236480713,-1.7172943353652954
24,-1.749110221862793,-1.7412117719650269
25,-1.7314950227737427,-1.812510371208191
26,-1.709263801574707,-1.8418933153152466
27,-1.7558304071426392,-1.8153934478759766
28,-1.711029291152954,-1.851410984992981
29,-1.7195723056793213,-1.815955638885498
30,-1.7807608842849731,-1.8975156545639038
31,-1.772620439529419,-1.6992578506469727
32,-1.7739249467849731,-1.8485957384109497
33,-1.7377485036849976,-1.8745694160461426
34,-1.769437551498413,-1.905409336090088
35,-1.7959648370742798,-1.7664282321929932
36,-1.7881779670715332,-1.843248963356018
37,-1.745282769203186,-1.8766711950302124
38,-1.7868725061416626,-1.7704933881759644
39,-1.8170950412750244,-1.5178942680358887
40,-1.7986658811569214,-1.8062684535980225
41,-1.7891358137130737,-1.8705246448516846
42,-1.7725616693496704,-1.808250904083252
43,-1.8232723474502563,-1.8441325426101685
44,-1.8295537233352661,-1.7688671350479126
45,-1.7887169122695923,-1.9397985935211182
46,-1.8258641958236694,-1.2869689464569092
47,-1.8062522411346436,-1.9440773725509644
48,-1.832371473312378,-1.8901914358139038
49,-1.831892728805542,-1.9412059783935547
50,-1.7932318449020386,-1.7291316986083984
51,-1.841251254081726,-1.8527631759643555
52,-1.8380099534988403,-1.6268682479858398
53,-1.820157766342163,-1.687895655632019
54,-1.8472179174423218,-1.8302092552185059
55,-1.8254495859146118,-1.903664231300354
56,-1.8688958883285522,-1.7638132572174072
57,-1.8604732751846313,-1.7178715467453003
58,-1.8754355907440186,-0.9341414570808411
59,-1.8233014345169067,-1.9625732898712158
60,-1.8674405813217163,-1.9294105768203735
61,-1.8396974802017212,-1.9557856321334839
62,-1.850064754486084,-1.9531909227371216
63,-1.86338210105896,-1.9578245878219604
64,-1.8619771003723145,-1.945243239402771
65,-1.8723649978637695,-1.9080201387405396
66,-1.8878804445266724,-1.9115945100784302
67,-1.8780580759048462,-1.768203854560852
68,-1.8566123247146606,-1.8543870449066162
69,-1.8807766437530518,-1.9136239290237427
70,-1.8789372444152832,-1.871246576309204
71,-1.8490487337112427,-1.9351894855499268
72,-1.8971718549728394,-1.871274709701538
73,-1.8970345258712769,-1.9437029361724854
74,-1.8923429250717163,-1.9110509157180786
75,-1.8838708400726318,-1.8337956666946411
76,-1.872341275215149,-1.8130500316619873
77,-1.8924039602279663,-1.225709319114685
78,-1.8975906372070312,-1.7543919086456299
79,-1.8898952007293701,-1.9882813692092896
80,-1.8729702234268188,-1.970201849937439
81,-1.9014935493469238,-1.8026435375213623
82,-1.8638274669647217,-1.922393798828125
83,-1.8825314044952393,-1.8966870307922363
84,-1.8922847509384155,-1.9373149871826172
85,-1.905916452407837,-1.9638360738754272
86,-1.9142403602600098,-1.912843108177185
87,-1.9024081230163574,-1.9243688583374023
88,-1.8934623003005981,-1.9806104898452759
89,-1.8883082866668701,-2.000502586364746
90,-1.8826453685760498,-1.8639557361602783
91,-1.9176995754241943,-1.9546234607696533
92,-1.850829839706421,-1.7743024826049805
93,-1.926934838294983,-1.9797520637512207
94,-1.9091511964797974,-1.981932520866394
95,-1.925938367843628,-1.9246091842651367
96,-1.8983464241027832,-1.833915114402771
97,-1.9320622682571411,-1.970956563949585
98,-1.9202064275741577,-1.8717721700668335
99,-1.9123843908309937,-1.8289633989334106
